Dist Code,Location,Name Of City,State Code,State Name,0-6 Population Female,0-6 Population Male,0-6 Population Total,Child Sex Ratio,Effective Literacy Rate Female,Effective Literacy Rate Male,Effective Literacy Rate Total,Female Graduates,Literate Ratio,Literates Female,Literates Male,Literates Total,Male Graduates,Population Female,Population Male,Population Ratio,Population Total,Sex Ratio,Total Graduates
13,21.60317747,Amreli,24,GUJARAT,4499,5386,9885,835,84.75,93.85,89.47,4726,1.190222652,39254,46721,85975,6579,50814,55166,1.085645688,105980,921,11305
15,31.63397937,Amritsar,3,PUNJAB,49484,60056,109540,824,82.09,88.09,85.27,71118,1.211925012,394465,478062,872527,69241,530007,602754,1.137256678,1132761,879,140359
6,28.90435378,Amroha,9,UTTAR PRADESH,13056,13799,26855,946,59.24,68.11,63.88,6244,1.258976968,48151,60621,108772,7635,94331,102804,1.08982201,197135,918,13879
15,22.56451757,Anand,24,GUJARAT,9362,10631,19993,881,90.82,96.42,93.71,12472,1.137294739,77767,88444,166211,17331,94992,102359,1.077553899,197351,928,29803
22,14.68188778,Anantapur,28,ANDHRA PRADESH,11221,12409,23630,904,75.24,88.54,81.88,16308,1.171688889,90000,105452,195452,27392,130834,131506,1.00513628,262340,995,43700
14,33.73112558,Anantnag,1,JAMMU & KASHMIR,8423,9633,18056,874,72.23,85.33,78.95,5375,1.24433479,31817,39591,71408,7291,52475,56030,1.067746546,108505,937,12666
29,25.55604438,Arrah,10,BIHAR,16063,18356,34419,875,76.86,89.14,83.41,10309,1.32690935,81258,107822,189080,25045,121780,139319,1.144022007,261099,874,35354
9,23.67394529,Asansol,19,WEST BENGAL,26651,29363,56014,908,79.73,89.52,84.82,25394,1.216147613,194617,236683,431300,40231,270743,293748,1.084969879,564491,922,65625
11,22.8403988,Ashoknagar Kalyangarh,19,WEST BENGAL,4321,4564,8885,947,89.32,95.53,92.45,4899,1.087536073,50939,55398,106337,7093,61352,62554,1.019591863,123906,981,11992
33,24.74571898,Aurangabad,10,BIHAR,6744,7548,14292,893,80.68,92.52,86.89,3770,1.265407376,33458,42338,75796,9371,48213,53307,1.105656151,101520,904,13141
19,19.87616538,Aurangabad,27,MAHARASHTRA,70156,81671,151827,859,83.81,94.08,89.13,62732,1.209284233,411321,497404,908725,96576,560953,610377,1.088107203,1171330,919,159308
1,13.10674488,Avadi,33,TAMIL NADU,16409,17005,33414,965,84.94,92.2,88.63,23905,1.11968314,130152,145729,275881,27742,169646,175055,1.031884041,344701,969,51647
60,26.07370448,Azamgarh,9,UTTAR PRADESH,5839,6790,12629,860,81.56,90.91,86.43,8220,1.212540017,38421,46587,85008,11691,52947,58033,1.096058322,110980,912,19911
21,19.16678547,Badlapur,27,MAHARASHTRA,8098,9096,17194,890,88.94,95.53,92.38,11237,1.17165808,67349,78910,146259,13878,83821,91695,1.093938273,175516,914,25115
1,27.12219598,Bagaha,10,BIHAR,9268,9802,19070,946,50.79,69.3,60.67,988,1.562053311,22247,34751,56998,2756,53066,59946,1.12964987,113012,885,3744
2,16.17253558,Bagalkot,29,KARNATAKA,5923,6476,12399,915,79.58,92.58,86.15,5052,1.188240691,39237,46623,85860,9038,55231,56837,1.029077873,112068,972,14090
15,28.69244648,Bahadurgarh,6,HARYANA,8954,11420,20374,784,80.87,94.27,88.04,9496,1.342589637,56394,75714,132108,13025,78690,91736,1.165789808,170426,858,22521
7,24.09882659,Baharampur,19,WEST BENGAL,6487,6741,13228,962,88.09,92.36,90.29,12475,1.110704659,77910,86535,164445,19679,94932,100431,1.057925673,195363,945,32154
49,27.75252718,Bahraich,9,UTTAR PRADESH,10782,12046,22828,895,72.87,76.94,75.03,8953,1.187056263,56058,66544,122602,11537,87712,98529,1.123324061,186241,890,20490
12,22.79578388,Baidyabati,19,WEST BENGAL,3990,4164,8154,958,86.86,91.15,89.08,6913,1.123361408,47373,53217,100590,10311,58531,62550,1.068664468,121081,936,17224
8,21.48693379,Baleshwar Town,21,ORISSA,5430,5685,11115,955,85.22,92.22,88.79,9099,1.126587941,44712,50372,95084,14071,57894,60308,1.041696894,118202,960,23170
62,25.75843818,Ballia,9,UTTAR PRADESH,5018,5780,10798,868,81.51,91.07,86.62,5862,1.280868806,35497,45467,80964,10252,48565,55706,1.147040049,104271,872,16114
15,22.65005189,Bally,19,WEST BENGAL,17276,14583,31859,1185,82.56,84.07,83.39,13930,1.227057108,97394,119508,216902,22170,135238,156734,1.158949408,291972,863,36100
15,22.65005189,Bally City,19,WEST BENGAL,4705,4879,9584,964,86.43,93.58,90.14,4792,1.167750561,44131,51534,95665,7562,55764,59951,1.075084284,115715,930,12354
5,25.23728349,Balurghat,19,WEST BENGAL,4634,4757,9391,974,89.28,94.41,91.85,9194,1.058126304,63276,66954,130230,14538,75506,75677,1.002264721,151183,998,23732
39,25.47962248,Banda,9,UTTAR PRADESH,8346,9351,17697,893,76.75,89.03,83.3,8800,1.324276324,48986,64871,113857,15215,72173,82215,1.139137905,154388,878,24015
13,23.23241469,Bankura,19,WEST BENGAL,5258,5502,10760,956,81.88,92.4,87.27,6761,1.186433338,50801,60272,111073,12321,67302,70734,1.050994027,138036,951,19082
12,22.95190488,Bansberia,19,WEST BENGAL,4203,4518,8721,930,80.46,90.63,85.73,3302,1.212469126,36843,44671,81514,5264,49992,53807,1.07631221,103799,929,8566
27,23.54613947,Banswara,8,RAJASTHAN,5642,6602,12244,855,81.01,92.76,86.98,6015,1.181823372,35034,41404,76438,7837,48888,51240,1.048109966,100128,954,13852
30,25.10114388,Baran,8,RAJASTHAN,7003,7842,14845,893,71.64,90.08,81.19,4191,1.351527895,35670,48209,83879,7362,56797,61360,1.08033875,118157,926,11553
11,22.63830169,Baranagar,19,WEST BENGAL,7304,7712,15016,947,90.04,94.72,92.46,21437,1.126549231,101502,114347,215849,28274,120034,128432,1.06996351,248466,935,49711
11,22.72281599,Barasat,19,WEST BENGAL,10536,10932,21468,964,87.62,93.14,90.42,18373,1.092791702,113189,123692,236881,27143,139711,143732,1.02878084,283443,972,45516
8,29.09989028,Baraut,9,UTTAR PRADESH,6149,7387,13536,832,70.51,84.65,77.98,5481,1.34529148,29659,39900,69559,7191,48212,54521,1.130859537,102733,884,12672
9,23.23242149,Barddhaman,19,WEST BENGAL,10710,11394,22104,940,85.48,92.52,89.07,20062,1.127105154,122497,138067,260564,32325,154007,160631,1.043011032,314638,959,52387
19,28.36703558,Bareilly,9,UTTAR PRADESH,44691,50224,94915,890,65.75,74.06,70.17,49626,1.279698585,247234,316385,563619,61065,420729,477438,1.134787476,898167,881,110691
7,21.93223389,Baripada Town,21,ORISSA,4705,5228,9933,900,84.88,93.45,89.31,6636,1.179245973,41033,48388,89421,10953,53050,57008,1.07460886,110058,931,17589
20,30.38194468,Barnala,3,PUNJAB,5888,7096,12984,830,75.1,83.51,79.59,6452,1.271829393,36247,46100,82347,6213,54152,62302,1.15050229,116454,869,12665
11,22.76742789,Barrackpur,19,WEST BENGAL,5118,5553,10671,922,86.33,92.16,89.33,12396,1.130331675,60300,68159,128459,17514,74968,79507,1.060545833,154475,943,29910
30,18.23338568,Barshi,27,MAHARASHTRA,5969,7060,13029,845,79.8,92.88,86.47,4787,1.209952779,41295,49965,91260,8564,57716,60857,1.054421651,118573,948,13351
